symbol,Date,signal
PPG,01/15/15,1
DOW,01/29/15,1
CBT,01/29/15,1
CYT,01/28/15,1
IP,01/28/15,-1
GEF,01/15/15,1
AA,01/13/15,1
AKS,01/27/15,1
ATI,01/20/15,1
NUE,01/27/15,1
STLD,01/29/15,-1
RGLD,01/28/15,-1
X,01/28/15,1
FCX,01/27/15,-1
AEP,01/28/15,-1
XEL,01/29/15,1
COLM,02/13/15,1
SKX,02/12/15,-1
RL,02/04/15,-1
KORS,02/05/15,1
TSLA,02/12/15,-1
GM,02/04/15,1
GT,02/17/15,-1
LEA,01/30/15,1
ALSN,02/10/15,-1
SBGI,02/18/15,1
SIRI,02/05/15,-1
NYT,02/03/15,1
TWX,02/11/15,-1
DIS,02/04/15,1
CNK,02/18/15,1
AMC,02/18/15,1
OUTR,02/06/15,1
STRA,02/06/15,-1
IRBT,02/05/15,-1
LZB,02/18/15,-1
LEG,01/30/15,-1
WHR,02/04/15,1
MAT,01/30/15,-1
H,02/18/15,1
JACK,02/18/15,1
HOT,02/10/15,1
CAKE,02/12/15,-1
WEN,02/03/15,1
WYNN,02/04/15,-1
YUM,02/05/15,-1
BYD,02/13/15,1
BWLD,02/06/15,-1
DNKN,02/05/15,-1
HLT,02/18/15,-1
AAN,02/06/15,1
AAP,02/12/15,-1
SBH,02/06/15,-1
SCSS,02/12/15,1
RCII,02/03/15,-1
AN,02/03/15,1
CAB,02/12/15,-1
AMZN,01/30/15,1
NILE,02/10/15,-1
EXPE,02/06/15,-1
GRPN,02/13/15,1
TRIP,02/12/15,-1
ZU,02/12/15,-1
SALE,02/10/15,1
VIPS,02/17/15,1
CNX,01/30/15,1
NAT,02/09/15,-1
SE,02/04/15,1
PXD,02/11/15,-1
APC,02/03/15,-1
APA,02/12/15,1
ACIIQ,02/03/15,-1
EXXIQ,02/09/15,-1
EQT,02/05/15,1
XOM,02/02/15,1
DVN,02/18/15,-1
MPC,02/04/15,1
PAGP,02/05/15,-1
HOS,02/12/15,-1
NE,02/05/15,-1
NSH,01/30/15,-1
PES,02/17/15,-1
ATW,02/04/15,1
TDW,02/10/15,1
BWP,02/09/15,-1
GLF,02/17/15,1
FTI,02/11/15,1
HLX,02/17/15,-1
PRU,02/05/15,-1
AIG,02/13/15,-1
AJG,02/04/15,1
AIZ,02/13/15,-1
GNW,02/11/15,-1
GDOT,01/30/15,-1
ASPS,02/13/15,1
JLL,02/03/15,1
MCO,02/06/15,1
KCG,01/30/15,-1
KKR,02/10/15,-1
PSEC,02/05/15,-1
WDR,02/03/15,1
S,02/05/15,-1
RNG,02/04/15,1
CTL,02/12/15,-1
CROX,02/27/15,-1
KATE,03/03/15,-1
THO,03/06/15,1
CTB,02/23/15,-1
CORE,03/02/15,1
LKQ,02/26/15,-1
SUP,03/10/15,1
THRM,02/24/15,1
FDML,02/24/15,-1
IEP,02/27/15,-1
LAMR,02/25/15,1
LYV,02/27/15,-1
SSP,03/04/15,-1
DISH,02/23/15,1
DWA,02/25/15,-1
STRZA,02/25/15,1
BID,03/02/15,-1
WTW,02/27/15,-1
BPI,03/10/15,1
CECO,03/04/15,1
HRB,03/05/15,1
SODA,02/25/15,1
TOL,02/24/15,1
IMAX,02/19/15,1
RGR,02/26/15,1
SWHC,03/04/15,1
CBRL,02/24/15,1
SIX,02/19/15,1
BJRI,02/19/15,1
BOBE,03/04/15,-1
CHH,02/20/15,1
CHDN,02/26/15,-1
DENN,02/19/15,-1
BLMN,02/19/15,1
CZR,03/03/15,1
VAC,02/26/15,1
IILG,02/27/15,1
SEAS,02/26/15,-1
NDLS,02/20/15,-1
LB,02/26/15,1
LL,02/25/15,-1
SSI,03/03/15,1
ROST,02/27/15,1
ASNA,03/04/15,-1
HD,02/24/15,1
BKS,03/10/15,-1
BBY,03/03/15,1
CHS,02/26/15,1
FL,03/06/15,1
DKS,03/03/15,1
HVT,02/24/15,1
AWAY,02/25/15,1
PCLN,02/19/15,1
WIN,02/24/15,-1
JD,03/03/15,1
JCP,02/27/15,-1
KSS,02/26/15,1
TGT,02/25/15,1
AMSF,02/27/15,1
EHTH,02/26/15,1
PRAA,03/03/15,-1
RHP,02/27/15,1
DRH,02/24/15,-1
BMO,02/24/15,-1
LC,02/25/15,1
FNGN,02/20/15,-1
ZQKSQ,03/18/15,1
GIII,03/24/15,1
LULU,03/26/15,1
VNCE,03/19/15,-1
WGO,03/26/15,-1
SCHL,03/26/15,-1
STON,03/13/15,-1
APOL,03/25/15,1
KBH,03/20/15,1
HOV,03/12/15,-1
KKD,03/12/15,1
SGMS,03/12/15,-1
MCS,03/19/15,1
MTN,03/12/15,1
CCL,03/27/15,1
DRI,03/20/15,1
MYCC,03/12/15,-1
LOCO,03/13/15,1
AROPQ,03/13/15,1
HIBB,03/13/15,1
SCVL,03/19/15,1
ANN,03/13/15,1
TLRD,03/12/15,-1
CAL,03/11/15,1
DSW,03/17/15,1
MFRM,03/20/15,-1
FRAN,03/25/15,-1
CTRP,03/20/15,-1
FRED,03/26/15,-1
BURL,03/17/15,1
MOV,03/31/15,1
PERY,04/02/15,1
MAT,04/17/15,1
ISCA,04/07/15,1
RT,04/10/15,1
PBY,04/14/15,-1
PIR,04/09/15,1
CONN,03/31/15,-1
COLM,05/01/15,-1
CROX,05/08/15,1
KATE,05/07/15,-1
SKX,04/23/15,1
UA,04/21/15,-1
CRI,04/29/15,1
HBI,04/24/15,-1
FOSL,05/06/15,1
TSLA,05/07/15,-1
F,04/28/15,-1
GM,04/23/15,-1
CTB,05/01/15,-1
JCI,04/23/15,-1
LKQ,04/30/15,1
POOL,04/23/15,1
THRM,04/30/15,1
ALV,04/22/15,1
TEN,04/27/15,-1
BWA,04/30/15,-1
GT,04/29/15,1
ALSN,04/28/15,1
AMCX,05/04/15,1
NWSA,05/06/15,-1
SIRI,04/28/15,-1
NYT,04/30/15,1
IPG,04/24/15,1
TWC,04/30/15,-1
TWX,04/29/15,1
CVC,05/04/15,-1
CNK,05/07/15,1
DWA,05/01/15,1
VIAB,04/30/15,1
DISCA,05/05/15,1
AMC,04/30/15,-1
GTN,05/05/15,1
OUTR,05/08/15,1
LRN,04/28/15,1
EDU,04/21/15,1
WTW,05/06/15,1
LOCK,04/30/15,-1
IRBT,04/22/15,1
JAH,04/23/15,-1
